m_base,omega_base,amp_combined_max,ratio_h1,amp_h1_max,ratio_h2,amp_h2_max,ratio_h3,amp_h3_max,dominant_harmonic,dominant_ratio,dominant_amp_max
0.3699999999999999,0.4649557127312892,0.2900128130192655,0.3699999999999999,0.18152991085127226,0.7399999999999998,0.138109463521404,1.1099999999999994,0.15148382072660546,1,0.3699999999999999,0.18152991085127226
0.3799999999999999,0.47752208334564844,0.2823506022716275,0.3799999999999999,0.18961743835935604,0.7599999999999998,0.15334636232813867,1.1399999999999997,0.12229221900187216,1,0.3799999999999999,0.18961743835935604
0.38999999999999985,0.49008845396000755,0.29252273271628565,0.38999999999999985,0.18557902937039564,0.7799999999999997,0.1627737616990716,1.1699999999999997,0.09457881983452662,1,0.38999999999999985,0.18557902937039564
0.39999999999999986,0.5026548245743667,0.2929290358456244,0.39999999999999986,0.1895753611433031,0.7999999999999997,0.1757733698664081,1.1999999999999995,0.08142612583886825,1,0.39999999999999986,0.1895753611433031
0.40999999999999986,0.5152211951887259,0.30597241859745733,0.40999999999999986,0.19593329237096627,0.8199999999999997,0.18916998152049908,1.2299999999999995,0.07136105108466852,1,0.40999999999999986,0.19593329237096627
0.4199999999999998,0.5277875658030851,0.3220062087207855,0.4199999999999999,0.1855406207653372,0.8399999999999997,0.20889823012106307,1.2599999999999996,0.06018392840520255,2,0.8399999999999997,0.20889823012106307
0.4299999999999998,0.5403539364174442,0.3770088943187256,0.4299999999999998,0.18814849454626015,0.8599999999999997,0.2481866445568231,1.2899999999999996,0.05480044828407122,2,0.8599999999999997,0.2481866445568231
0.43999999999999984,0.5529203070318034,0.414794547573954,0.43999999999999984,0.19930119037064692,0.8799999999999997,0.2804071376260878,1.3199999999999996,0.04916656177442218,2,0.8799999999999997,0.2804071376260878
0.44999999999999984,0.5654866776461626,0.4690018916059118,0.44999999999999984,0.2064555169657509,0.8999999999999997,0.3227559488728819,1.3499999999999994,0.04538045798978782,2,0.8999999999999997,0.3227559488728819
0.45999999999999985,0.5780530482605217,0.521853691541493,0.45999999999999985,0.2047011409309521,0.9199999999999997,0.38232540981588164,1.3799999999999994,0.040275112688858486,2,0.9199999999999997,0.38232540981588164
0.4699999999999998,0.5906194188748809,0.6736718603130956,0.4699999999999998,0.19730644326588045,0.9399999999999996,0.5306778716101057,1.4099999999999997,0.03724875284522542,2,0.9399999999999996,0.5306778716101057
0.4799999999999998,0.6031857894892401,0.9766609828997553,0.4799999999999998,0.2134227470389722,0.9599999999999996,0.8058835283240319,1.4399999999999995,0.035320389059469375,2,0.9599999999999996,0.8058835283240319
